8359,Xav the Baker's Bread,1,0,烘焙,2279,2
8359,Xav the Baker's Bread,1,0,烘焙,2340,3
8359,Xav the Baker's Bread,1,0,烘焙,4278,1
8359,Xav the Baker's Bread,1,0,烘焙,9750,1
8054,Gobbread,1,0,烘焙,2279,1
8054,Gobbread,1,0,烘焙,11526,1
11369,Clover Cookie,1,0,烘焙,2279,1
11369,Clover Cookie,1,0,烘焙,11370,4
8047,Farle Bread,1,0,烘焙,2279,1
8047,Farle Bread,1,0,烘焙,2340,3
11526,Gobbette Butter,1,0,烘焙,2357,1
11526,Gobbette Butter,1,0,烘焙,2693,2
10594,Kwismas Log,1,0,烘焙,10557,4
10594,Kwismas Log,1,0,烘焙,10558,1
8048,Piwibread,1,5,烘焙,2732,2
8048,Piwibread,1,5,烘焙,11526,2
13222,Sandwich Bread,1,5,烘焙,2279,2
13222,Sandwich Bread,1,5,烘焙,2340,3
8047,Farle Bread x 5,5,5,烘焙,2279,5
8047,Farle Bread x 5,5,5,烘焙,2340,15
8206,Artichobread,1,10,烘焙,1889,15
8206,Artichobread,1,10,烘焙,11526,4
8059,Round Bread,1,10,烘焙,2340,3
8059,Round Bread,1,10,烘焙,9750,1
13223,Catbread,1,10,烘焙,6252,1
13223,Catbread,1,10,烘焙,11526,2
13222,Sandwich Bread x 5,5,10,烘焙,2279,7
13222,Sandwich Bread x 5,5,10,烘焙,2340,15
14330,Krosmaster Tart,1,15,烘焙,9751,2
14330,Krosmaster Tart,1,15,烘焙,11538,7
14330,Krosmaster Tart,1,15,烘焙,14404,1
8059,Round Bread x 5,5,15,烘焙,2340,15
8059,Round Bread x 5,5,15,烘焙,9750,5
8207,Bag of Bretzels,1,15,烘焙,8099,1
8207,Bag of Bretzels,1,15,烘焙,9751,5
8207,Bag of Bretzels,1,15,烘焙,11538,7
8096,Small Bun,1,15,烘焙,2340,3
8096,Small Bun,1,15,烘焙,9750,2
9753,Apisauce,1,20,烘焙,1734,6
9753,Apisauce,1,20,烘焙,8397,3
8058,Foccacia,1,20,烘焙,2340,3
8058,Foccacia,1,20,烘焙,8094,1
11916,Sourdough,1,20,烘焙,2682,3
8096,Small Bun x 5,5,20,烘焙,2340,15
