110,2337,Lucy-Fur Brooch,Necklace
110,2542,Renaud Ring,Ring
110,2571,Killer Death Sword,Sword
110,2895,The Ring,Ring
110,13216,Lucy-Dontecrey Pendant,Necklace
110,13218,The Triplesicks,Ring
110,14088,False Renaud,Ring
110,14089,False Renaud Copy,Ring
290,10599,Father Kwismas Boots,
290,10600,Father Kwismas Cloak,
290,10601,Father Kwismas Hat,
290,10602,Father Kwismas Coat,
307,11291,Bandage Cloak,
307,11292,Bandage Hat,
307,11293,Bandage Breastplate,
307,11294,Bandage Boots,
387,13598,Dash Band,Ring
387,13599,Exclamation Cloak,Cloak
387,13600,Ellipsis Boots,Boots
387,13601,Acute Hat,Helmet
387,13602,Question Breastplate,Breastplate
387,13603,Grave Amulet,Necklace
387,13604,Dieresis Belt,Belt
387,13605,Circumflex Epaulettes,Epaulettes
545,18284,Novice Sword,
545,18285,Novice Shield,Shields
545,18286,Novice Cloak,
545,18287,Novice Hat,
227,6816,Wodent Ring,Ring
227,6823,Wodent Hat,Helmet
227,7120,Wodent Corset,Belt
227,7121,Wodent Top,Breastplate
227,6819,Wodent Amulet,Necklace
227,7119,Wodent Slippers,Boots
293,11281,Pioneer Hat,
293,11282,Pioneer Cape,
293,11283,Pioneer Boots,
293,11284,Pioneer Epaulettes,
402,14740,Dark Top,Breastplate
402,14741,Dark Corset,Belt
402,14742,Dark Ring,Ring
402,14744,Dark Hat,Helmet
402,14743,Dark Slippers,Boots
402,14745,Dark Amulet,Necklace
80,2294,Red Piwat ,Helmet
80,2306,Red Piwi Belt,Belt
80,2310,Red Piwi Claw Slippers,Boots
80,2298,Red Capiwin,Cloak
81,2295,Blue Piwat ,Helmet
81,2307,Blue Piwi Belt,Belt
81,2311,Blue Piwi Claw Slippers,Boots
81,2299,Blue Capiwin,Cloak
82,2296,Purple Piwat ,Helmet
82,2308,Purple Piwi Belt,Belt
82,2312,Purple Piwi Claw Slippers,Boots
82,2300,Purple Capiwin,Cloak
83,2297,Green Piwat ,Helmet
83,2309,Green Piwi Belt,Belt
83,2313,Green Piwi Claw Slippers,Boots
83,2301,Green Capiwin,Cloak
258,9492,Adventurer Cloak,Cloak
258,9512,Adventurer Amulet,Necklace
258,9498,Adventurer Belt,Belt
258,9509,Adventurer Ring,Ring
258,9477,Adventurer Helmet,Helmet
258,9487,Adventurer Boots,Boots
262,9620,Amaknian Ring,Ring
262,9619,Amaknian Amulet,Necklace
262,9622,Amaknian Boots,Boots
262,9621,Amaknian Cloak,Cloak
264,9661,Bontarian Ring,Ring
264,9660,Bontarian Amulet,Necklace
264,9664,Bontarian Boots,Boots
264,9662,Bontarian Cloak,Cloak
265,9669,Brakmarian Ring,Ring
265,9668,Brakmarian Amulet,Necklace
265,9672,Brakmarian Boots,Boots
265,9670,Brakmarian Cloak,Cloak
282,10300,Sufokian Ring,Ring
282,10301,Sufokian Amulet,Necklace
282,10298,Sufokian Boots,Boots
282,10299,Sufokian Cloak,Cloak
315,11389,Beltivore,Belt
315,11388,Greedopaulettes,Epaulettes
